No,mnodule,class_id,attr_id,Trype,Level,Card,Oject Class term (entity),Property term (attribute),Representation term,Associated class,Referenced Class,(domain),Tag,Description,Ref. Object Class,Ref. Property
631,Sales,SL02,08,RFBIE,1,0..1,Sales Order,Salesperson ID,,,Employee,IDENTIFIER 60,SalprsnId,Unique identifier for the salesperson.Shall match the Employee_ID [EmpId] in the BAS_Employee [BasEmp] table.,BAS EMPLOYEE,Employee ID
632,Sales,SL02,09,RFBIE,1,0..1,Sales Order,Customer Account ID,,,Customer,IDENTIFIER 100,CustAcntId,Unique identifier for the receiving customer.Typically auto-generated by the system.Shall match the Customer_Account_ID [CustAcntId] in the BAS_Customer [BasCust] table.,BAS CUSTOMER,Customer Account ID
633,Sales,SL02,10,RFBIE,1,0..1,Sales Order,Settlement Method Code,,,Settlement Method,IDENTIFIER 60,SetlMthdCd,"Code value or indicator for the method by which the transaction debit or credit amount was settled or apportioned by the customer or the supplier.EXAMPLE   Check, wire transfer, cash.Shall match the Settlement_Method_Code [SetlMthdCd] in the BAS_Settlement_Method [BasSetlMthd] table.",BAS SETTLEMENT METHOD,Settlement Method Code
634,Sales,SL02,11,RFBIE,1,0..1,Sales Order,Payment Term Code,,,Payment Term,PAYMENT TERM CODE,PayTermCd,"Code for the payment term.EXAMPLE   Cash on delivery, payment 30 days after delivery date.Shall match the Payment_Term_Code [PayTermCd] in the BAS_Payment_Term [BasPayTerm] table.",BAS PAYMENT TERM,Payment Term Code
635,Sales,SL02,12,BBIE,1,0..1,Sales Order,Order Transaction Amount,Monatary Amount,,,AMOUNT,OrdTrAmt,Transaction monetary amount recorded in transaction currency.,,
636,Sales,SL02,13,RFBIE,1,0..1,Sales Order,Order Transaction Currency Code,,,Currency,CURRENCY CODE,OrdTrCurCd,Transactional currency specified in the order (in accordance with ISO 4217).Shall match the Currency_Code [CurCd] in the BAS_Currency [BasCur] table.,,
637,Sales,SL02,14,BBIE,1,0..1,Sales Order,Status,Code,,,STATUS CODE,Stat,"Status of the order.EXAMPLE   The order has been shipped (goods on the way), the order has been collected, the order has been completed.EXAMPLE   New, save, submit, approved, frozen.",,
638,Sales,SL02,15,BBIE,1,0..1,Sales Order,Remark,Text,,,TEXT 500,Rmrk,Free-form text description.,,
639,Sales,SL02,SL57,ASBIE,1,0..1,Sales Order,Specified,,Created,,,Crea,Information about the data that was created into the system.,,
640,Sales,SL57,01,RFBIE,2,0..1,Created,User ID,,,User,IDENTIFIER 25,UserId,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
641,Sales,SL57,02,BBIE,2,0..1,Created,Date,Date,,,DATE,Dt,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,
642,Sales,SL57,03,BBIE,2,0..1,Created,Time,Time,,,TIME,Tm,The time of activity.,,
643,Sales,SL02,SL58,ASBIE,1,0..1,Sales Order,Specified,,Approved,,,Aprv,Information about the data was approved within the system.,,
644,Sales,SL58,01,RFBIE,2,0..1,Approved,User ID,,,User,IDENTIFIER 25,UserId,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
645,Sales,SL58,02,BBIE,2,0..1,Approved,Date,Date,,,DATE,Dt,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,
646,Sales,SL58,03,BBIE,2,0..1,Approved,Time,Time,,,TIME,Tm,The time of activity.,,
647,Sales,SL02,SL59,ASBIE,1,0..1,Sales Order,Specified,,Last Modified,,,LstMdf,Information about the data was  last modified within the system.,,
648,Sales,SL59,01,RFBIE,2,0..1,Last Modified,User ID,,,User,IDENTIFIER 25,UserId,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
649,Sales,SL59,02,BBIE,2,0..1,Last Modified,Date,Date,,,DATE,Dt,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,
650,Sales,SL59,03,BBIE,2,0..1,Last Modified,Time,Time,,,TIME,Tm,The time of activity.,,
651,Sales,SL02,SL60,ASBIE,1,0..n,Sales Order,Specified,,Business Segment,,,BusSg,Contains associated Business Segment information.,,
652,Sales,SL60,01,BBIE,2,0..1,Business Segment,Sequence Number,Code,,,TEXT 60,SqNr,Number or text to keep the Business Segments in a predefined order.,,
653,Sales,SL60,02,RFBIE,2,0..1,Business Segment,Business Segment Code,,,Business Segment,IDENTIFIER 25,BusSgCd,Contains a code to identify the associated business segment. Must match the Business_Segment_Code [BusSgCd] in BAS_Business_Segment [BasBusSg].,BAS BUSINESS SEGMENT,Business Segment Code
654,Sales,SL02,SL71,ASBIE,1,1..n,Sales Order,Specified,,Sales Order Details,,,SalOrdDtls,"Contains line item details for sales orders. Each line includes product, quantity, due date, price per unit, trading amount and settlement organization. Multiple types of products may be presented in one sales order. Additionally, different shippers and settlement organizations may be assigned by each order line.",,
655,Sales,SL71,01,RFBIE,2,1..1,Sales Order Details,Order ID,,,Sales Order,IDENTIFIER 100,OrdId,Unique identifier for the order.Typically auto-generated by the system.Shall match the Order_ID [OrdId] in the Order table.,SAL ORDER,Order ID
656,Sales,SL71,02,BBIE,2,1..1,Sales Order Details,Order Line ID,Identifier,,,IDENTIFIER 60,OrdLnId,Unique identifier for a order line.Typically auto-generated by the system.,,
657,Sales,SL71,03,BBIE,2,0..1,Sales Order Details,Order Line Number,Code,,,TEXT 10,OrdLnNr,Number of the order line.This number is either generated by manual input or generated by the system.,,
658,Sales,SL71,04,RFBIE,2,0..1,Sales Order Details,Contract ID,,,Sales Contract,IDENTIFIER 60,ContrId,Unique identifier for the contract.Typically auto-generated by the system.May be set to NULL if there is no contract.Otherwise shall match the Contract_ID [ContrId] in the Contract_Details table.,SAL CONTRACT,Contract ID
659,Sales,SL71,05,RFBIE,2,0..1,Sales Order Details,Contract Line ID,,,Sales Contract Details,IDENTIFIER 60,ContrLnId,The unique identifier for a contract line. Typically auto generated by the system. Shall match the Contract_Line_ID [ContrLnId] in the  Contracts_Details table.,SAL CONTRACT DETAILS,Contract Line ID
660,Sales,SL71,06,BBIE,2,0..1,Sales Order Details,Payer ID,Text,,,TEXT 60,PayerId,"Unique identifier for the payer.Typically auto-generated by the system.There are different purchase models in the group company (e.g. centralized purchase, decentralized payment, decentralization of procurement, centralized payment). If the sales order customer adopts the centralized purchasing model, the customer may be a group company, and the settlement organization may be a subsidiary company of the group company. The customer name and the name of the payment customer may be different.",,
661,Sales,SL71,07,RFBIE,2,0..1,Sales Order Details,Settlement Organization Code,,,Business Segment,IDENTIFIER 25,SetlOrgCd,"Unique code of the settlement organization.Both parties have settlement unit code, which is used to identify an organization for a sales order settlement.Shall match the Business_Segment_Code [BusSgCd] in the BAS_Business_Segment [BasBusSg] table.",BAS BUSINESS SEGMENT,Business Segment Code
662,Sales,SL71,08,RFBIE,2,0..1,Sales Order Details,Dispatch Organization Code,,,Business Segment,IDENTIFIER 25,DispOrgCd,Unique code of the dispatch organization.The dispatch unit refers to the unit who sends out goods belonging to the seller.Shall match the Business_Segment_Code [BusSgCd] in the BAS_Business_Segment [BasBusSg] table.,BAS BUSINESS SEGMENT,Business Segment Code
663,Sales,SL71,09,BBIE,2,0..1,Sales Order Details,Due Date,Date,,,DATE,DueDt,"Last requested delivery of products. When an order is delivered in multiple batches, this field refers to the time for the delivery of the last batch.",,
664,Sales,SL71,10,BBIE,2,0..1,Sales Order Details,Basic UOM Quantity,Quantity,,,QUANTITY,BasicUomQt,Quantity by basic measurement unit.,,
665,Sales,SL71,11,RFBIE,2,0..1,Sales Order Details,Basic UOM Code,,,Measurement Unit,MEASUREMENT UNIT CODE,BasicUomCd,"Code for the basic measurement unit in the order, which cannot be further seperated. Shall match the UOM_Code [UomCd] in the BAS_Measurement_Unit [BasMeaUnit] table.",BAS MEASUREMENT UNIT,UOM Code
666,Sales,SL71,12,BBIE,2,0..1,Sales Order Details,Order Line Quantity,Quantity,,,QUANTITY,OrdLnQt,Quantity of the order line by the measurement unit in the order line.,,
667,Sales,SL71,13,RFBIE,2,0..1,Sales Order Details,Order Line UOM Code,,,Measurement Unit,MEASUREMENT UNIT CODE,OrdLnUomCd,Code for the measurement unit in the order line.Shall match the UOM_Code [UomCd] in the BAS_Measurement_Unit [BasMeaUnit] table. ,BAS MEASUREMENT UNIT,UOM Code
668,Sales,SL71,14,BBIE,2,0..1,Sales Order Details,Tax Exclude Unit Price,Unit Price Amount,,,PRICE,TaxExclUnitPrice,Unit price (excluding tax) in the transaction currency.,,
669,Sales,SL71,15,BBIE,2,0..1,Sales Order Details,Tax Include Unit Price,Unit Price Amount,,,PRICE,TaxInclUnitPrice,Unit price (including tax) in the transaction currency.,,
670,Sales,SL71,16,BBIE,2,0..1,Sales Order Details,Tax Exclude Amount,Monatary Amount,,,AMOUNT,TaxExclAmt,Amount (excluding tax) in the transaction currency.,,
671,Sales,SL71,17,BBIE,2,0..1,Sales Order Details,Tax Include Amount,Monatary Amount,,,AMOUNT,TaxInclAmt,Amount (including tax) in the transaction currency.,,
672,Sales,SL71,18,RFBIE,2,0..1,Sales Order Details,Product ID,,,Inventory Product,IDENTIFIER 75,PrdctId,Unique identifier for the product.Typically auto-generated by the system.Shall match the Inventory_Product_ID [InvPrdctId] in the INV_Product [InvPrdct] table.,INV PRODUCT,Inventory Product ID
673,Sales,SL71,19,BBIE,2,0..1,Sales Order Details,Order Line Transaction Amount,Monatary Amount,,,AMOUNT,OrdLnTrAmt,Transaction currency amount of the order line.,,
674,Sales,SL71,20,BBIE,2,0..1,Sales Order Details,Status,Code,,,STATUS CODE,Stat,"Status of the contract line.This describes changes in the execution of the contract line item. Different states will affect the execution and control of the business.EXAMPLE   Termination, frozen, closed.",,
675,Sales,SL71,SL61,ASBIE,2,0..4,Sales Order Details,Specified,,Tax,,,Tax,Tax information.,,
676,Sales,SL61,01,RFBIE,3,0..1,Tax,Tax Type Code,,,Tax Type,TAX TYPE CODE,TaxTypCd,The code of Tax type. Shall match the Tax_Type_Code [TaxTypCd] in the BAS_Tax_Type [BasTaxTyp] table.,BAS TAX TYPE,Tax Type Code
677,Sales,SL61,02,BBIE,3,0..1,Tax,Tax Transaction Amount,Monatary Amount,,,AMOUNT,TaxTrAmt,The amount of Tax included in the transaction. Recorded in transaction currency.,,
678,Sales,SL71,SL62,ASBIE,2,0..n,Sales Order Details,Specified,,Business Segment,,,BusSg,Contains associated Business Segment information.,,
679,Sales,SL62,01,BBIE,3,0..1,Business Segment,Sequence Number,Code,,,TEXT 60,SqNr,Number or text to keep the Business Segments in a predefined order.,,
680,Sales,SL62,02,RFBIE,3,0..1,Business Segment,Business Segment Code,,,Business Segment,IDENTIFIER 25,BusSgCd,Contains a code to identify the associated business segment. Must match the Business_Segment_Code [BusSgCd] in BAS_Business_Segment [BasBusSg].,BAS BUSINESS SEGMENT,Business Segment Code
681,Sales,SL04,,ABIE,0,--,Invoice Generated,,,,,,SalInvoiGen,"Contains summary information for the invoices generated during the period under review. Invoices are included in the three-way match procedures, which control the decision process for AR entries. Each line includes invoice ID, invoice number, invoice date, customer, invoice amount, currency type, tax type, tax amount, settlement method and payment terms.",,
682,Sales,SL04,01,BBIE,1,1..1,Sales Invoice Generated,Invoice ID,Identifier,,,IDENTIFIER 60,InvoiId,Unique identifier for the invoice.Typically auto-generated by the system.The same ID shall be used for all tables with invoice data.,,
683,Sales,SL04,02,BBIE,1,0..1,Sales Invoice Generated,Invoice Number,Code,,,TEXT 100,InvoiNr,"Number of the invoice.This number is usually generated by manual input or is system-generated (e.g. including serial number, document type, date).",,
684,Sales,SL04,03,RFBIE,1,0..1,Sales Invoice Generated,Fiscal Year,,,Accounting Period,YEAR IDENTIFIER,FiscYr,"Fiscal year in which the Invoice_Date [InvoiDt] occurs.The year shall be shown in four digits as YYYY, which is part of the extended format and the YYYY-MM-DD from ISO 8601-1.Shall match the Fiscal_Year [FiscYr] in the BAS_Accounting_Period [BasAcntingPer] table.",BAS ACCOUNTING PERIOD,Fiscal Year
685,Sales,SL04,04,RFBIE,1,0..1,Sales Invoice Generated,Accounting Period,,,Accounting Period,PERIOD IDENTIFIER,AcntingPer,"Accounting period in which the Invoice_Date [InvoiDt] occurs.EXAMPLE   W1-W53 for weekly periods, M1-M12 for monthly periods, Q1-Q4 for quarterly periods, from any beginning date to any ending date.Shall match the Accounting_Period [AcntingPer] in the BAS_Accounting_Period [BasAcntingPer] table.",BAS ACCOUNTING PERIOD,Accounting Period
686,Sales,SL04,05,BBIE,1,0..1,Sales Invoice Generated,Official Invoice Code,Text,,,TEXT 25,OfficialInvoiCd,"Unique official code of the invoice, which is usually generated by the tax authorities.",,
687,Sales,SL04,06,BBIE,1,0..1,Sales Invoice Generated,Invoice Type Name,Text,,,TEXT 60,InvoiTypNm,The name of the invoice type. The documents are classified according to business content.,,
688,Sales,SL04,07,BBIE,1,0..1,Sales Invoice Generated,Invoice Date,Date,,,DATE,InvoiDt,"Date of the invoice, regardless of the date the invoice is created. This is the date from which the due date is calculated based on the invoice terms.",,
689,Sales,SL04,08,BBIE,1,0..1,Sales Invoice Generated,Invoice Due Date,Date,,,DATE,InvoiDueDt,Date when the payment is due.Aging of a receivable is usually calculated based on this date.,,
690,Sales,SL04,09,RFBIE,1,0..1,Sales Invoice Generated,Customer Account ID,,,Customer,IDENTIFIER 100,CustAcntId,Unique identifier for the receiving customer.Typically autogenerated by the system.Shall match the Customer_Account_ID [CustAcntId] in the BAS_Customer [BasCust] table.,BAS CUSTOMER,Customer Account ID
691,Sales,SL04,10,BBIE,1,0..1,Sales Invoice Generated,Settlement Method Code,Identifier,,,IDENTIFIER 60,SetlMthdCd,"Code value for the method used for cash receipts from customers.EXAMPLE   Check, wire transfer, cash.Shall match the Settlement_Method_Code [SetlMthdCd] in the BAS_Settlement_Method [BasSetlMthd] table.",,
692,Sales,SL04,11,BBIE,1,0..1,Sales Invoice Generated,Invoice Transaction Amount,Monatary Amount,,,AMOUNT,InvoiTrAmt,The transaction monetary amount recorded in the functional or group currency.No multi-currency translation should be performed on this amount because all transactions are recorded in a single currency.,,
693,Sales,SL04,12,RFBIE,1,0..1,Sales Invoice Generated,Invoice Transaction Currency Code,,,Currency,CURRENCY CODE,InvoiTrCurCd,Transactional currency appearing in the invoice (in accordance with ISO 4217).Shall match the Currency_Code [CurCd] in the BAS_Currency [BasCur] table.,BAS CURRENCY,Currency Code
694,Sales,SL04,13,RFBIE,1,0..1,Sales Invoice Generated,Payment Term Code,,,Payment Term,PAYMENT TERM CODE,PayTermCd,"Code for the payment term.EXAMPLE   Cash on delivery, payment 30 days after delivery date.Shall match the Payment_Term_Code [PayTermCd] in the BAS_Payment_Term [BasPayTerm] table.",BAS PAYMENT TERM,Payment Term Code
695,Sales,SL04,14,BBIE,1,0..1,Sales Invoice Generated,Terms Discount Percentage,Percentage,,,PERCENTAGE,TrmsDscntPerc,Discount percentage that can be provided if an invoice is paid before a certain number of days.Terms are represented as integers to a decimal place.EXAMPLE   10 % is 0.10.,,
696,Sales,SL04,15,BBIE,1,0..1,Sales Invoice Generated,Terms Discount Days,Code,,,NUMBER 6,TrmsDscntDays,Number of days from the invoice date that the customer has to take advantage of discounted terms.Terms are represented as integers with no decimal places.EXAMPLE   10 days are 10.,,
697,Sales,SL04,16,BBIE,1,0..1,Sales Invoice Generated,Terms Due Days,Code,,,NUMBER 6,TrmsDueDays,Number of days allowed that the customer has to meet the obligation before an invoice becomes overdue.,,
698,Sales,SL04,17,BBIE,1,0..1,Sales Invoice Generated,Grouping Code,Text,,,TEXT 100,GrpCd,Grouping mechanism for related items in a batch or grouping of invoices (e.g. the invoice grouping found in certain ERP systems).,,
699,Sales,SL04,18,BBIE,1,0..1,Sales Invoice Generated,Status,Code,,,STATUS CODE,Stat,"Status of the invoice.EXAMPLE   New, save, submit, frozen.",,
700,Sales,SL04,19,BBIE,1,0..1,Sales Invoice Generated,Remark,Text,,,TEXT 500,Rmrk,Free-form text description.,,
701,Sales,SL04,SL63,ASBIE,1,0..4,Invoice Generated,Specified,,Tax,,,Tax,Tax information.,,
